#i3,,
i3,window manager,
i3blocks,,skidnik/i3blocks
jq,Command-line JSON processor,
xorg-x11-server-Xorg,graphical server,
xorg-x11-xinit,starts the graphical server,
xorg-x11-server-utils,cli tool for screen adjustments,
xbacklight,RandR-based backlight control application,
xdotool,window action utilities on the command line (maim),
dunst,suckless notification system,
numlockx,turns on NumLock when you login,
feh,image viewer that also sets the wallpaper,
maim,can take quick screenshots at your request,
xkb-switch,used by i3blocks to display what keyboard layout,
libnotify,desktop notifications,
gnome-terminal,the GNOME Terminal Emulator,
playerctl,media control for some mediaplayers,
pcmanfm,simple GUI file manager,
gvfs-afc,,
gvfs-gphoto2,,
gvfs-mtp,MTP backend; Android & media player,
gvfs-smb,SMB/CIFS backend; Windows client,
xarchiver,GUI archive manager used by pcmanfm,
firefox,web browser,
hunspell-en,dicttianery,
hunspell-el,Gerek dicttianery,
NetworkManager,,
nm-connection-editor,,
NetworkManager-openconnect,,
NetworkManager-openvpn,,
NetworkManager-pptp,,
NetworkManager-vpnc,,
NetworkManager-ssh,,
paprefs,advanced pulseaudio settings,
polkit-gnome,authentication agent,
liberation-fonts,Red Hats Liberation fonts,
mpv,simple video/gif player,
g810-led,,lkiesow/g810-led
#Dev,,
git,,
ctags,,
cmake,,
clang,,
gcc,,
gcc-c++,,
glibc-headers,,
glibc-devel,,
dkms,,
#MS docx2txt,enables .docx file previews in vifm,
#MS python-ueberzug,generates image previews in vifm and other terminal programs,
#MS sc-im,terminal spreadsheet manager,
#? yadm,?Maybe?,thelocehiliosan
#? stow,?Maybe?,